title,release_year,duration,calification,cast
Avengers: Endgame,2019,181,8.4,"['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']"
Mente indomable,1997,126,8.3,"['Robin Williams', 'Matt Damon', 'Ben Affleck', 'Stellan Skarsgård']"
Cinco días para vengarse,2003,120,8.3,"['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jeong', 'Kim Byeong-Ok']"
Dr. Insólito,1964,95,8.3,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden', 'Keenan Wynn']"
El submarino,1981,149,8.4,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann', 'Hubertus Bengsch']"
Corazón valiente,1995,178,8.3,"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']"
Cielo e infierno,1963,143,8.4,"['Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai', 'Kyôko Kagawa']"
Belleza americana,1999,122,8.3,"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']"
La princesa Mononoke,1997,133,8.3,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Billy Crudup']"
Your Name.,2016,106,8.4,"['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita', 'Aoi Yûki']"
3 Idiots,2009,170,8.4,"['Aamir Khan', 'Madhavan', 'Mona Singh', 'Sharman Joshi']"
Guasón,2019,122,8.3,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']"
Cafarnaúm: la ciudad olvidada,2018,126,8.4,"['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole', 'Kawsar Al Haddad']"
Érase una vez en América,1984,229,8.3,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern', 'Treat Williams']"
Cantando bajo la lluvia,1952,103,8.3,"['Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds', 'Jean Hagen']"
Ven y mira,1985,142,8.3,"['Aleksey Kravchenko', 'Olga Mironova', 'Liubomiras Laucevicius', 'Vladas Bagdonas']"
Réquiem por un sueño,2000,102,8.3,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly', 'Marlon Wayans']"
El regreso del jedi,1983,131,8.3,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']"
Toy Story 3,2010,103,8.3,"['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Ned Beatty']"
La caza,2012,115,8.3,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm']"
Vivir,1952,143,8.3,"['Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori"", 'Haruo Tanaka']"
Eterno resplandor de una mente sin recuerdos,2004,108,8.3,"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson', 'Gerry Robert Byrne']"
La mujer que cantaba,2010,131,8.3,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Mustafa Kamel']"
2001. Odisea del espacio,1968,149,8.3,"['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Daniel Richter']"
Piso de soltero,1960,125,8.3,"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']"
Perros de reserva,1992,99,8.3,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn']"
Lawrence de Arabia,1962,227,8.3,"[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins']"
Caracortada,1983,170,8.3,"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer', 'Mary Elizabeth Mastrantonio']"
Pacto de sangre,1944,107,8.3,"['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson', 'Byron Barr']"
Fuego contra fuego,1995,170,8.3,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']"
Intriga Internacional,1959,136,8.3,"['Cary Grant', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis']"
Up: Una aventura de altura,2009,96,8.3,"['Edward Asner', 'Jordan Nagai', 'John Ratzenberger', 'Christopher Plummer']"
El Ciudadano Kane,1941,119,8.3,"['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Agnes Moorehead']"
M el Maldito,1931,117,8.3,"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut', 'Otto Wernicke']"
Cara de guerra,1987,116,8.2,"['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio"", 'Adam Baldwin']"
Vértigo,1958,128,8.2,"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore']"
Amélie,2001,122,8.3,"['Audrey Tautou', 'Mathieu Kassovitz', 'Rufus', 'Lorella Cravotta']"
Hababam Sinifi: Sinifta Kaldi,1975,95,8.7,"['Münir Özkul', 'Tarik Akan', 'Kemal Sunal', 'Adile Nasit']"
Like stars on Earth,2007,162,8.3,"['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra', 'Vipin Sharma']"
Una separación,2011,123,8.3,"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat', 'Shahab Hosseini']"
Matar a un Ruiseñor,1962,129,8.3,"['Gregory Peck', 'John Megna', 'Frank Overton', 'Rosemary Murphy']"
Duro de matar,1988,132,8.2,"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia', 'Reginald VelJohnson']"
Naranja mecánica,1971,136,8.2,"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates', 'Warren Clarke']"
Indiana Jones y la última cruzada,1989,127,8.2,"['Harrison Ford', 'Sean Connery', 'Alison Doody', 'Denholm Elliott']"
El golpe,1973,129,8.2,"['Paul Newman', 'Robert Redford', 'Robert Shaw', 'Charles Durning']"
Oppenheimer,2023,180,8.3,"['Cillian Murphy', 'Emily Blunt', 'Matt Damon', 'Robert Downey Jr.']"
Metrópolis,1927,153,8.3,"['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich', 'Rudolf Klein-Rogge']"
Snatch. Cerdos y diamantes,2000,104,8.2,"['Jason Statham', 'Brad Pitt', 'Stephen Graham', 'Vinnie Jones']"
1917,2019,119,8.2,"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays', 'Colin Firth']"
Los Ángeles al desnudo,1997,138,8.2,"['Kevin Spacey', 'Russell Crowe', 'Guy Pearce', 'Kim Basinger']"
Ladrones de bicicletas,1948,89,8.2,"['Lamberto Maggiorani', 'Enzo Staiola', 'Lianella Carell', 'Elena Altieri']"
La caída,2004,156,8.2,"['Bruno Ganz', 'Alexandra Maria Lara', 'Ulrich Matthes', 'Juliane Köhler']"
Dangal,2016,161,8.3,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']"
El lobo de Wall Street,2013,180,8.2,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey']"
Hamilton,2020,160,8.3,"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.', 'Renée Elise Goldsberry']"
Taxi Driver,1976,114,8.2,"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd', 'Albert Brooks']"
Green Book. Una amistad sin fronteras,2018,130,8.2,"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco']"
Batman inicia,2005,140,8.2,"['Christian Bale', 'Michael Caine', 'Ken Watanabe', 'Liam Neeson']"
The Truman Show. Historia de una vida,1998,103,8.2,"['Jim Carrey', 'Ed Harris', 'Laura Linney', 'Noah Emmerich']"
Por unos dólares más,1965,132,8.2,"['Clint Eastwood', 'Lee Van Cleef', 'Gian Maria Volontè', 'Mara Krupp']"
Juicio en Nuremberg,1961,179,8.3,"['Spencer Tracy', 'Burt Lancaster', 'Richard Widmark', 'Marlene Dietrich']"
Una Eva y dos Adanes,1959,121,8.2,"['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon', 'George Raft']"
La isla siniestra,2010,138,8.2,"['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo', 'Ben Kingsley']"
El chico,1921,68,8.2,"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan', 'Carl Miller']"
El padre,2020,97,8.2,"['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss', 'Olivia Williams']"
Parque jurásico,1993,127,8.2,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough']"
La malvada,1950,138,8.2,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm']"
Petróleo sangriento,2007,158,8.2,"['Daniel Day-Lewis', 'Paul Dano', 'Ciarán Hinds', 'Martin Stringer']"
El sexto sentido,1999,107,8.2,"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette', 'Olivia Williams']"
Ran,1985,160,8.2,"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu', 'Daisuke Ryû']"
Casino,1995,178,8.2,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods']"
Top Gun: Maverick,2022,130,8.2,"['Tom Cruise', 'Jennifer Connelly', 'Miles Teller', 'Val Kilmer']"
Sin lugar para los débiles,2007,122,8.2,"['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin', 'Woody Harrelson']"
La cosa del otro mundo,1982,109,8.2,"['Kurt Russell', 'Wilford Brimley', 'Keith David', 'Richard Masur']"
Los imperdonables,1992,130,8.2,"['Clint Eastwood', 'Gene Hackman', 'Morgan Freeman', 'Richard Harris']"
El laberinto del fauno,2006,118,8.2,"['Ivana Baquero', 'Ariadna Gil', 'Sergi López', 'Maribel Verdú']"
Kill Bill. La venganza (volumen 1),2003,111,8.2,"['Uma Thurman', 'David Carradine', 'Daryl Hannah', 'Michael Madsen']"
Una mente brillante,2001,135,8.2,"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly', 'Christopher Plummer']"
Intriga,2013,153,8.2,"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis', 'Melissa Leo']"
El tesoro de la Sierra Madre,1948,126,8.2,"['Humphrey Bogart', 'Walter Huston', 'Tim Holt', 'Bruce Bennett']"
Yojimbo,1961,110,8.2,"['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai', 'Yôko Tsukasa']"
Buscando a Nemo,2003,100,8.2,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould', 'Willem Dafoe']"
El increíble castillo vagabundo,2004,119,8.2,"['Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin', 'Akihiro Miwa']"
El gran escape,1963,172,8.2,"['Steve McQueen', 'James Garner', 'Richard Attenborough', 'Charles Bronson']"
Monty Python y el santo grial,1975,91,8.2,"['Graham Chapman', 'John Cleese', 'Eric Idle', 'Terry Gilliam']"
El hombre elefante,1980,124,8.2,"['Anthony Hopkins', 'John Hurt', 'Anne Bancroft', 'John Gielgud']"
Con M de Muerte,1954,105,8.2,"['Ray Milland', 'Grace Kelly', 'Robert Cummings', 'John Williams']"
Klaus,2019,96,8.2,"['Jason Schwartzman', 'J.K. Simmons', 'Rashida Jones', 'Will Sasso']"
Lo que el viento se llevó,1939,238,8.2,"['Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]"
Barrio Chino,1974,130,8.1,"['Jack Nicholson', 'Faye Dunaway', 'John Huston', 'Perry Lopez']"
El secreto de sus ojos,2009,129,8.2,"['Ricardo Darín', 'Soledad Villamil', 'Pablo Rago', 'Carla Quevedo']"
"Juegos, trampas y dos pistolas humeantes",1998,107,8.1,"['Jason Flemyng', 'Dexter Fletcher', 'Nick Moran', 'Jason Statham']"
Rashomon,1950,88,8.2,"['Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori', 'Takashi Shimura']"
V de venganza,2005,132,8.1,"['Hugo Weaving', 'Natalie Portman', 'Rupert Graves', 'Stephen Rea']"
Intensa mente,2015,95,8.1,"['Amy Poehler', 'Bill Hader', 'Lewis Black', 'Mindy Kaling']"
Tres anuncios por un crimen,2017,115,8.1,"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell', 'Caleb Landry Jones']"
Atrápame si puedes,2002,141,8.1,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken', 'Martin Sheen']"
Trainspotting: La vida en el abismo,1996,93,8.1,"['Ewan McGregor', 'Ewen Bremner', 'Jonny Lee Miller', 'Kevin McKidd']"
El puente sobre el río Kwai,1957,161,8.1,"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa']"
El toro salvaje,1980,129,8.1,"['Robert De Niro', 'Cathy Moriarty', 'Joe Pesci', 'Frank Vincent']"
Robot Salvaje,2024,102,8.2,"[""Lupita Nyong'o"", 'Pedro Pascal', 'Kit Connor', 'Bill Nighy']"
Fargo. Secuestro voluntario,1996,98,8.1,"['William H. Macy', 'Frances McDormand', 'Steve Buscemi', 'Peter Stormare']"
Harry Potter y las reliquias de la muerte (parte 2),2011,130,8.1,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon']"
La última pelea,2011,140,8.1,"['Tom Hardy', 'Nick Nolte', 'Joel Edgerton', 'Jennifer Morrison']"
Gran Torino,2008,116,8.1,"['Clint Eastwood', 'Bee Vang', 'Christopher Carley', 'Ahney Her']"
Golpes del destino,2004,132,8.1,"['Hilary Swank', 'Clint Eastwood', 'Morgan Freeman', 'Jay Baruchel']"
Ben-Hur,1959,212,8.1,"['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd', 'Haya Harareet']"
Mad Max: Furia en el camino,2015,120,8.1,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Zoë Kravitz']"
Mi vecino Totoro,1988,86,8.1,"['Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto', 'Shigesato Itoi']"
La sociedad de los poetas muertos,1989,128,8.1,"['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke', 'Josh Charles']"
Barry Lyndon,1975,185,8.1,"[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee', 'Hardy Krüger']"
Los niños del cielo,1997,89,8.2,"['Reza Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi', 'Nafise Jafar-Mohammadi']"
Spider-Man: Sin Camino A Casa,2021,148,8.2,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon']"
